age,income,education_level,marital_status,weekly_hours,children,housing_status,credit_score
41.0,17392.681156479535,Bachelor,Married,42,,Own,1007.7082790577651
67.0,30245.666388547124,,Single,37,1.0,Own,819.4570877083364
49.0,48877.19921097729,Bachelor,Married,20,,Own,695.1931724356447
64.0,56273.09919131804,Master,Divorced,54,,Other,480.3211090219472
,48472.76386955646,,Married,50,2.0,Own,447.0955793010901
40.0,41492.11371780983,Bachelor,Single,20,1.0,Rent,585.8185143209242
19.0,44158.731837604435,High School,Divorced,22,0.0,Own,840.5556458651129
44.0,70541.61464636156,Master,Divorced,22,4.0,Other,336.89583382566474
59.0,44239.51733179789,,Married,56,,Rent,602.0821019883396
19.0,76238.62433065292,High School,Married,38,,Other,746.8440543327569
43.0,61910.256103117004,Bachelor,Single,48,,Rent,785.8697634535107
34.0,56863.06019222346,,Divorced,44,3.0,Other,746.2473002123398
57.0,32096.046345185066,Master,Single,52,1.0,Other,316.48129482625757
50.0,64028.5724209944,,Married,55,4.0,Rent,826.3555769041905
26.0,42593.44133377251,,Divorced,48,3.0,Own,613.4387312191394
60.0,32083.403629914505,High School,Single,45,2.0,Rent,382.8809688054099
65.0,57692.65419619066,,Single,23,0.0,Rent,595.1663585319227
56.0,29180.809091501906,,Single,33,,Rent,208.2669713375421
46.0,38566.37806805626,Master,Single,46,,Rent,715.6596046020537
59.0,49848.26132796633,High School,Single,52,,Rent,574.45810669239
43.0,83276.32136172091,,Divorced,41,,Other,345.9768687508339
52.0,39696.26366311269,Master,Single,22,4.0,Other,541.9846787314891
67.0,43126.752210491366,High School,Divorced,42,2.0,Own,458.50695619130465
42.0,60985.17581632468,,Single,40,,Own,471.2832362101583
41.0,31425.56467435931,Bachelor,Married,42,1.0,Rent,147.79341678803314
30.0,56642.09571531373,Bachelor,Married,23,,Own,265.5673159930662
24.0,68088.90211424882,High School,Single,40,,Own,554.0602017285837
,45393.57672933348,High School,Married,56,,Rent,623.5798571972734
62.0,65392.31422095298,High School,Divorced,50,,Other,794.7956323627454
37.0,54371.74884817709,Master,Single,40,4.0,Other,473.6434042659043
18.0,39039.77054294329,Bachelor,Divorced,45,1.0,Own,494.6037360697461
25.0,47032.9297115524,Master,Single,54,2.0,Other,503.952016834672
63.0,44303.639900296366,PhD,Married,57,,Other,560.594054840181
,48685.42613275284,Bachelor,Divorced,43,,Own,618.2928134047935
31.0,52290.76848829743,High School,Married,30,,Rent,518.7344778337481
29.0,58822.99902457785,High School,Married,48,4.0,Own,714.2442974919151
68.0,57630.02374380703,High School,Single,22,,Own,1060.0441947257184
40.0,13524.296431067778,PhD,Divorced,20,4.0,Own,434.911221031153
32.0,48540.377168419596,,Married,38,4.0,Rent,678.3660020345592
45.0,27358.67129889856,High School,Single,41,,Rent,605.9052492562646
,45864.09121299011,,Single,33,,Rent,809.4069064893503
19.0,48143.1561828362,Bachelor,Single,33,,Rent,640.5999805811598
49.0,64642.22537127064,,Married,35,3.0,Own,454.7097619249284
40.0,49548.267993498506,High School,Single,52,1.0,Other,366.9892505296651
39.0,53888.2702751489,PhD,Divorced,32,,Own,722.0979208184391
68.0,61895.84570986144,Bachelor,Divorced,57,1.0,Rent,383.2396009459564
42.0,68416.2838972895,High School,Married,31,,Other,1673.4961944672402
39.0,48154.79114964634,Master,Divorced,57,,Own,710.6385375448377
39.0,51412.691625206135,High School,Single,58,3.0,Other,617.3418300290203
66.0,50150.34953363381,PhD,Married,52,,Rent,337.54899344810525
69.0,41861.01553353386,PhD,Single,52,0.0,Other,735.0646286225477
59.0,38463.271648364156,Master,Married,48,2.0,Other,923.3532149627415
,15921.71125361097,Master,Married,24,3.0,Rent,514.9810383862912
32.0,33850.08598213505,,Single,25,,Other,451.6185325345539
60.0,23320.53750185295,PhD,Divorced,50,3.0,Own,581.5948415343548
54.0,68827.97726679879,Bachelor,Divorced,35,,Other,693.3884543863762
50.0,52826.24012446142,Master,Married,50,,Own,493.75615740005424
25.0,48110.915405797496,,Single,44,,Other,779.8396291980016
,39237.72220878377,PhD,Single,52,,Other,982.143594854073
61.0,50446.68894851936,Master,Married,32,,Rent,666.0491767035867
22.0,37280.30183516999,High School,Divorced,29,0.0,Rent,535.0027793963347
56.0,52610.278349309054,PhD,Single,43,4.0,Own,688.0007549697825
21.0,53686.0097438203,Bachelor,Divorced,29,0.0,Rent,835.4599126002212
23.0,37079.244464648844,,Divorced,50,,Rent,631.9273257104034
62.0,36793.07052766391,Bachelor,Married,32,3.0,Rent,697.0190062206402
49.0,64432.990318926764,High School,Married,22,,Rent,740.9532377484586
69.0,49207.100685630496,High School,Divorced,53,,Rent,424.9108288291807
47.0,38284.69356102664,Bachelor,Single,47,,Own,691.8242682819217
64.0,44442.405474657215,Master,Single,38,2.0,Own,331.61023916484015
52.0,34841.08869940089,High School,Married,42,0.0,Rent,561.976526856696
57.0,48992.24629007125,Bachelor,Divorced,51,,Rent,829.1324802572589
69.0,62474.42461496703,High School,Single,32,3.0,Own,774.2070470621532
33.0,49584.93998608608,Master,Single,52,2.0,Other,545.9639979535182
30.0,85454.50165513076,Bachelor,Married,53,,Own,941.1586866891462
67.0,56320.39352073502,High School,Divorced,52,,Other,337.9619839199815
59.0,53449.316717633184,High School,Single,24,,Rent,558.9824614086132
47.0,36375.46803551292,High School,Married,22,4.0,Rent,655.0208578624859
36.0,46421.99829736,Bachelor,Single,26,0.0,Own,38.35055485619398
34.0,38314.79235449462,High School,Single,43,4.0,Rent,568.4674851047808
36.0,17515.321573938145,High School,Single,41,0.0,Other,375.1003533543376
45.0,64613.933331932116,PhD,Married,42,,Other,379.6525874269772
43.0,42328.24166674653,Master,Divorced,49,,Own,545.5540231260284
54.0,38593.99888500041,Bachelor,Married,37,,Other,234.86832593979392
43.0,53158.550509376975,PhD,Divorced,51,2.0,Own,438.40804328809145
40.0,57687.49328332276,High School,Single,26,,Own,239.54352879895475
26.0,45188.37750640582,Bachelor,Divorced,52,3.0,Other,624.7574093556607
29.0,49960.97498586473,Bachelor,Single,24,,Other,620.8694463602363
18.0,61192.81110971604,Bachelor,Single,47,0.0,Other,530.2904057081232
18.0,44597.09608085079,High School,Married,27,3.0,Other,799.2890327720002
64.0,54535.00612645001,Bachelor,Single,34,,Other,540.767482981187
51.0,25111.330724162744,Bachelor,Married,23,,Other,595.3838988525445
49.0,31380.21502358377,,Divorced,53,3.0,Other,418.79984938387713
65.0,59083.096671206054,High School,Divorced,24,1.0,Rent,139.3451024815854
,30596.620412490523,High School,Single,52,,Own,570.9320574713154
,53512.063206699444,High School,Married,24,0.0,Own,544.8103479291476
62.0,47795.01826704391,High School,Single,57,,Other,941.9817362815415
18.0,44532.99106219657,Bachelor,Married,53,,Own,733.4892047966438
33.0,37573.05846548408,High School,Married,45,1.0,Other,517.3757761047398
56.0,63640.10027158064,Master,Married,20,,Rent,628.3326049478552
22.0,75948.36731779753,High School,Divorced,23,,Own,781.4035927339307
39.0,54502.88243900292,High School,Married,58,,Own,703.3510053979733
46.0,54837.36073509226,Bachelor,Divorced,45,3.0,Rent,933.7811668661568
20.0,39765.04055213759,High School,Married,52,,Rent,442.12071615595653
29.0,32058.541522634303,Bachelor,Divorced,52,1.0,Rent,795.0068413907502
43.0,49403.91642790738,Bachelor,Divorced,27,,Own,515.425532933179
33.0,35393.75528062886,High School,Divorced,39,4.0,Own,638.7232989533974
68.0,23410.848075262675,High School,Single,35,,Rent,488.4646010453656
54.0,62051.68718548374,High School,Married,40,,Rent,571.5983653972546
39.0,62782.50182377749,High School,Single,45,,Rent,642.312412055791
46.0,37117.41840570359,High School,Married,42,2.0,Rent,718.6507128555619
31.0,53659.464819188666,High School,Married,37,,Rent,612.2714282754648
45.0,65029.2840168765,High School,Single,50,4.0,Other,102.77006430595276
22.0,53075.40030592818,Bachelor,Divorced,31,,Rent,584.6102483400878
64.0,32102.680308518997,Bachelor,Married,20,,Other,894.0801524640303
66.0,46506.59880144352,Bachelor,Divorced,28,,Own,583.0256407061244
47.0,69902.14130062987,High School,Single,22,,Own,899.6963680253427
63.0,53705.3996540767,,Divorced,45,,Other,575.960651146609
69.0,58086.98154774208,Master,Married,28,,Rent,285.6037158400776
22.0,55124.43829053672,Bachelor,Married,35,1.0,Own,513.4090307870482
29.0,37167.3296303262,Master,Married,43,1.0,Rent,488.3132629166029
33.0,40687.321710760356,High School,Single,33,3.0,Rent,554.0933875330355
43.0,55082.97735577614,Bachelor,Married,22,0.0,Other,362.9363115195484
43.0,62253.07670030612,Bachelor,Single,53,3.0,Own,598.2357066193692
65.0,66498.57426376824,High School,Divorced,52,,Own,534.3480318666324
38.0,37128.4168284771,Bachelor,Married,43,3.0,Other,857.5723714757182
56.0,56496.80802015791,,Married,28,2.0,Rent,357.95257561766505
53.0,67805.66167578465,High School,Married,32,4.0,Rent,649.1337373269296
50.0,35193.77344567966,High School,Divorced,21,1.0,Own,682.2056245234885
47.0,72301.20703699661,Master,Married,26,4.0,Other,754.996177801523
54.0,74584.11241016285,PhD,Single,40,,Other,527.2824246363142
40.0,89376.29509432492,High School,Divorced,38,,Rent,644.1601989185073
27.0,53464.00161244992,High School,Divorced,44,3.0,Rent,670.6556250892564
22.0,53546.37014393673,,Divorced,41,4.0,Other,270.3272399011305
53.0,62404.91583675976,Bachelor,Divorced,30,,Own,534.4598817089069
51.0,61967.04009574125,High School,Divorced,52,,Rent,593.4669872266021
69.0,66895.50291493408,PhD,Single,51,1.0,Other,616.9156440234913
48.0,61760.49770697656,High School,Divorced,40,,Other,614.4677984590948
27.0,48409.07136442942,High School,Married,58,,Other,1375.0085169231859
36.0,68329.95681460253,Bachelor,Divorced,39,,Own,987.5209853988324
49.0,33931.18775460911,Master,Divorced,27,2.0,Rent,480.91428525100275
,50087.785050880644,Bachelor,Divorced,56,,Rent,676.2343545106482
22.0,73456.03424074699,Bachelor,Divorced,28,1.0,Rent,860.2606371998756
62.0,31246.30252819521,PhD,Divorced,44,,Own,240.27227600774467
21.0,39837.86514504255,High School,Single,44,,Rent,653.6262159528221
33.0,60076.20936615937,Master,Single,52,,Rent,263.9241387016574
41.0,55908.67959854229,High School,Divorced,21,,Rent,518.5577740462536
33.0,36874.61888515633,,Single,38,,Rent,704.4101468595763
19.0,43757.089959047895,Bachelor,Married,39,4.0,Own,677.418131560872
66.0,32288.269060244915,High School,Divorced,48,,Other,225.32519418589953
45.0,64707.27499280858,,Married,25,4.0,Other,499.10163610876145
49.0,46161.779634942024,High School,Married,36,3.0,Rent,150.01223648551363
44.0,76882.33866140948,High School,Divorced,44,2.0,Rent,953.2911107837577
37.0,51216.50366060032,Bachelor,Married,57,,Rent,745.8402473711532
41.0,46703.89544895685,High School,Married,23,4.0,Own,269.4146605167554
29.0,45247.673580623035,Bachelor,Married,49,3.0,Rent,693.9004504703934
67.0,46337.00247211358,High School,Divorced,39,,Own,299.419143285553
52.0,51662.31642700705,High School,Divorced,22,,Rent,274.13335847114166
50.0,87686.11364867479,High School,Married,42,1.0,Rent,690.6844167387153
50.0,44917.10494850961,High School,Divorced,37,2.0,Other,748.9538261972883
,45404.698088430356,Bachelor,Divorced,45,4.0,Rent,691.7507180064474
60.0,50983.90768524768,Master,Married,55,,Own,975.9165164162633
54.0,66354.1175951639,PhD,Divorced,27,0.0,Other,673.7505072655423
29.0,28685.231583908313,,Single,36,0.0,Own,760.8226101055367
20.0,56826.39105364468,High School,Divorced,50,0.0,Other,713.5962246632998
18.0,37738.62235968257,Bachelor,Single,56,1.0,Own,771.5227357305498
50.0,58299.090334264234,High School,Married,52,0.0,Other,269.7111499271619
57.0,42593.60086459316,High School,Divorced,46,1.0,Own,1004.0738147635832
,15438.464903640699,Bachelor,Married,23,,Own,774.1595884519759
60.0,55543.66404031228,High School,Married,41,,Rent,1157.9594706588791
61.0,55417.17155520303,High School,Married,45,4.0,Other,677.8656217149211
46.0,41313.795372808556,PhD,Married,51,,Other,784.0332122181338
30.0,40424.84209785496,Bachelor,Married,43,0.0,Rent,544.5657780034657
29.0,30329.40912368521,Bachelor,Divorced,54,4.0,Own,591.3440824223733
48.0,61596.49912308307,High School,Single,56,,Own,116.90796547060167
63.0,63233.236737002124,,Divorced,51,0.0,Other,310.45827028646613
19.0,36814.23672236165,Master,Divorced,26,3.0,Own,637.899561382664
,41900.983106917236,High School,Divorced,52,,Other,590.1634987652337
67.0,49050.663182915545,Bachelor,Divorced,50,,Other,384.80525678030165
52.0,84062.9792155332,High School,Single,31,1.0,Own,420.25365153567066
40.0,58176.826213833985,Bachelor,Divorced,30,,Own,606.4939981415952
34.0,35848.76727487431,,Married,43,,Own,381.37565004368344
43.0,54556.70464235758,Master,Divorced,27,2.0,Rent,671.3290158950282
25.0,29349.626890428775,Master,Divorced,51,3.0,Other,387.58216657595193
46.0,60769.85464874256,Master,Single,57,,Own,651.1708959852297
43.0,75133.21090316729,High School,Single,41,,Rent,369.8575775879773
27.0,75196.87527625938,Master,Married,53,,Own,370.6968846349521
43.0,61023.402552115076,Bachelor,Divorced,38,,Other,127.55376803196157
51.0,41248.81466197806,High School,Divorced,39,3.0,Rent,567.944202003178
68.0,30486.47365228811,Bachelor,Divorced,33,2.0,Other,890.8129534606983
58.0,28996.924349463363,High School,Married,52,,Own,879.4661627832531
24.0,7906.743357521853,,Single,29,4.0,Own,664.8135006921827
21.0,60407.836445118824,Master,Married,35,,Own,199.79710352129143
67.0,48457.46719663401,High School,Divorced,23,,Rent,768.7750386467849
62.0,63638.24249679691,,Single,46,2.0,Rent,645.1332547041894
28.0,71420.47227852182,High School,Single,47,2.0,Rent,518.6993680617321
46.0,51498.583158536145,Master,Married,35,3.0,Rent,841.4732255827322
53.0,52189.42414569725,PhD,Single,52,4.0,Own,723.0889373617028
42.0,43035.19483253801,Master,Single,38,,Own,992.3098085571778
,44808.73374241388,High School,Divorced,40,,Own,318.8722332103931
,60927.04868709401,High School,Divorced,41,,Rent,334.51393855307
27.0,47384.374544520346,Bachelor,Single,28,,Rent,368.20410985350827
54.0,45214.88499870764,High School,Single,28,2.0,Own,542.9956978617512
26.0,49725.24710835723,High School,Married,28,2.0,Own,917.634450959282
41.0,63294.952940923846,,Married,46,2.0,Rent,475.28149492924575
,39610.07663254846,Bachelor,Single,36,2.0,Other,479.5591638883532
66.0,49002.07223671951,PhD,Divorced,27,2.0,Own,341.7291933514622
52.0,53679.16756667645,High School,Single,35,,Own,768.6310895589008
65.0,67403.32855377859,High School,Single,37,,Own,152.64168113706768
53.0,46410.54834800872,High School,Divorced,52,,Rent,807.9429752377168
35.0,39232.64920922417,PhD,Divorced,20,2.0,Own,468.9567388130058
66.0,42734.585835914666,Master,Married,31,,Own,579.5150572079746
56.0,65795.8614952307,Master,Married,25,,Own,883.6528265475075
49.0,80499.57947905197,PhD,Married,24,,Own,556.7112801411054
41.0,30293.63279470951,Bachelor,Married,35,3.0,Own,293.6258959628184
40.0,33570.475773952145,Bachelor,Divorced,37,,Other,305.21893981381095
49.0,47468.04819946782,High School,Single,37,,Other,594.177623774128
54.0,51664.34144102065,Bachelor,Married,20,,Own,533.1270529670492
29.0,61804.54348332493,Bachelor,Married,38,3.0,Own,611.8946348339068
66.0,36633.004870977704,Bachelor,Divorced,27,,Own,519.7444037940725
30.0,34053.364450258036,PhD,Divorced,22,3.0,Own,848.2853700569742
40.0,52071.307297004445,PhD,Single,44,2.0,Rent,604.9534479630139
42.0,46123.98919689247,Master,Single,24,,Rent,247.40446859479226
52.0,63900.81496657287,Master,Divorced,59,0.0,Rent,763.3065983726815
,57310.39704785575,,Married,38,1.0,Other,981.2541888320357
47.0,58330.69021449828,High School,Married,37,2.0,Own,630.986196237639
,48432.779804347,High School,Married,50,2.0,Rent,646.5100726880651
66.0,85333.70387852308,Bachelor,Single,52,,Own,444.02299758745835
37.0,37433.7802760936,,Married,37,,Own,551.5098521085804
65.0,59162.14750632163,,Married,58,2.0,Other,700.5740018986502
42.0,30954.65019390339,,Divorced,35,1.0,Other,826.358013195785
39.0,33897.98483390822,High School,Married,35,2.0,Rent,689.200055786081
30.0,40889.81601851818,High School,Divorced,57,3.0,Rent,963.6081757077949
36.0,74439.85004927039,Bachelor,Married,26,,Other,619.694062810217
66.0,53958.416456810286,High School,Single,33,,Other,375.6608992962939
53.0,41142.82897183437,,Married,44,2.0,Own,381.38892184224443
29.0,55616.5448893186,High School,Married,51,4.0,Own,846.8823463755405
58.0,50527.21822136763,Master,Divorced,57,3.0,Rent,801.4203949242196
36.0,42620.39946291321,,Divorced,41,,Rent,271.07918633062303
29.0,29050.567163176587,Bachelor,Divorced,35,4.0,Other,558.0983619128206
26.0,71578.13726768435,Bachelor,Married,48,2.0,Rent,565.3612382754976
24.0,53147.27193065063,High School,Married,35,,Own,449.69342834042806
45.0,82606.07560202359,PhD,Single,31,4.0,Other,95.37761673308763
31.0,64104.824308113195,High School,Married,36,1.0,Own,445.2791668803441
48.0,58269.795871415634,PhD,Single,56,,Other,409.3302877370087
69.0,43471.935070745494,Bachelor,Divorced,46,,Other,322.7063071553752
36.0,33569.81654214625,,Divorced,44,,Own,765.8130640331547
64.0,46734.03523267329,High School,Divorced,32,4.0,Rent,328.29465707424083
33.0,33135.61108691254,,Single,27,0.0,Rent,507.1754677176094
22.0,59752.85571096132,High School,Married,24,2.0,Rent,185.8862976339397
52.0,74489.78746545696,High School,Divorced,31,,Rent,540.1847781330359
29.0,46086.31600824305,Bachelor,Married,22,,Own,704.2111249161112
42.0,64167.36458586795,High School,Married,54,,Other,452.791204246206
69.0,39661.56394674715,Bachelor,Divorced,52,4.0,Own,370.0068438773777
38.0,45462.997426889735,High School,Single,41,2.0,Rent,575.395596539865
53.0,37775.54023151836,High School,Married,28,,Rent,667.01376561729
,18003.004473942343,Master,Divorced,37,3.0,Own,200.01382684559695
33.0,49451.99975122084,Bachelor,Married,48,2.0,Other,1741.6036551546204
56.0,51926.77606396629,Bachelor,Married,58,2.0,Own,350.1745885526377
62.0,65987.91498142456,Bachelor,Married,46,,Own,515.4434558705764
59.0,61931.573790039314,Master,Married,55,,Own,836.25420644049
56.0,62134.29348558493,High School,Married,36,,Other,625.0718111235783
31.0,35389.45665323184,Bachelor,Single,53,,Own,409.6091434159942
48.0,56892.45959106038,PhD,Single,22,2.0,Own,910.7357920891386
22.0,73738.90948222388,Master,Divorced,24,,Rent,308.06479296846305
52.0,55698.01776063622,Bachelor,Single,33,0.0,Own,780.4087810765728
40.0,77428.90419597496,,Single,22,2.0,Rent,259.5292112510887
46.0,80284.49166679796,Master,Single,42,,Rent,1049.6777808692864
60.0,45972.975945625316,Bachelor,Married,58,,Rent,540.757194689955
28.0,39545.90382379142,High School,Married,49,4.0,Other,217.39123690905734
35.0,38578.06751871575,High School,Divorced,42,,Rent,756.2158903499467
64.0,27257.962698451698,Master,Divorced,46,,Own,93.02633692971193
29.0,42223.95650876717,High School,Divorced,29,,Own,793.7615628126734
26.0,68114.98174634369,Master,Married,44,4.0,Rent,316.4661197268599
,16939.4363712314,High School,Single,32,,Rent,878.1377403190886
61.0,34438.19898929381,Bachelor,Single,35,,Own,679.2546870048684
34.0,48093.028375220034,High School,Married,53,,Rent,801.7935395231382
,36842.221990674494,,Divorced,56,3.0,Other,437.44460583389593
24.0,42090.7108363967,PhD,Divorced,41,,Rent,333.3092809614507
,42315.05488366545,Master,Divorced,36,,Other,247.27556723534178
30.0,46136.89669907377,,Married,42,,Other,818.240602445175
57.0,39058.17955835392,Bachelor,Divorced,55,,Other,732.588013812776
59.0,37831.80179216678,Bachelor,Divorced,28,,Rent,739.682609214854
,64014.64618881847,Bachelor,Married,21,,Other,658.2884742157681
67.0,65744.81266790518,Bachelor,Single,51,,Other,708.7743165176786
44.0,29291.84982128886,High School,Married,41,,Rent,541.666990286641
19.0,8606.039010906738,Bachelor,Married,32,3.0,Other,674.0601267688858
,65950.62274356396,Master,Married,27,4.0,Rent,428.63261209604195
46.0,31567.993721717936,,Married,20,3.0,Own,531.4533802254624
54.0,53191.1725768961,High School,Single,36,3.0,Other,604.3329495499404
55.0,26514.92190457674,Master,Divorced,31,,Rent,607.7842693865267
36.0,69466.32477889508,Bachelor,Married,23,3.0,Own,205.67582742876726
25.0,88155.01842952293,,Single,32,,Other,518.28199887921
65.0,52742.10363808005,High School,Divorced,50,4.0,Other,388.49552382130616
62.0,48588.46027310725,Bachelor,Divorced,26,,Rent,631.8437029431766
18.0,45167.90637214904,High School,Divorced,42,1.0,Own,211.0640887176336
39.0,61726.98966969368,High School,Married,43,0.0,Rent,557.6337246887812
69.0,58515.30126401878,Master,Married,24,4.0,Other,452.0319967457017
34.0,65052.47680329297,Master,Divorced,24,,Other,639.4368236394033
24.0,40581.25216102876,Bachelor,Divorced,36,4.0,Other,474.52023484337286
42.0,55101.76559606967,PhD,Divorced,49,4.0,Other,671.3760144998074
62.0,41862.97899940706,High School,Divorced,28,,Own,989.7162918097441
21.0,34134.265278949184,High School,Divorced,25,,Own,369.1175566874048
53.0,49384.768684948045,Bachelor,Divorced,44,,Rent,744.7710427236939
23.0,36162.30904434377,,Single,38,,Rent,109.43404747462279
48.0,67605.90496613883,High School,Divorced,35,,Rent,553.4457125368756
36.0,37071.19432976266,,Married,40,0.0,Other,645.7809551901149
61.0,55453.1891103104,High School,Married,21,4.0,Rent,450.3974632323196
56.0,40948.66551860416,Master,Married,29,,Own,242.5214353987301
44.0,54155.941256562684,,Divorced,35,2.0,Rent,592.392044246026
27.0,42140.05139816966,Bachelor,Married,56,,Rent,906.4230792972572
43.0,31141.830877136937,High School,Single,34,1.0,Own,570.7101286633252
36.0,57256.591114277675,Bachelor,Divorced,32,1.0,Own,711.7147447867216
56.0,46468.76567130167,High School,Married,32,,Other,825.3761283522726
20.0,54289.774110836894,Master,Single,51,,Own,1094.2949091011878
62.0,43567.35596554344,Bachelor,Single,27,2.0,Own,389.54247273863507
30.0,30080.95229347322,High School,Married,37,,Rent,410.177872089467
67.0,66247.67895584385,Bachelor,Single,55,,Own,541.553092476431
45.0,61051.36633161632,High School,Married,45,2.0,Other,723.0873276708633
37.0,41495.58536670134,Bachelor,Single,29,,Rent,135.85968330686376
45.0,51046.688202481964,High School,Divorced,50,,Other,730.7517856001447
25.0,65630.29224744406,PhD,Divorced,52,,Own,629.6528108096185
58.0,43144.42496206405,High School,Divorced,48,,Other,493.2111287996771
56.0,45471.73242214172,Bachelor,Divorced,24,4.0,Other,685.1019899570573
18.0,53654.487500110605,High School,Divorced,32,,Own,777.9298464728722
20.0,43113.63404668121,High School,Married,20,,Own,805.6043551776265
30.0,62856.379954805336,Bachelor,Divorced,42,,Rent,602.9526762106311
45.0,47466.48829538843,PhD,Divorced,59,4.0,Rent,665.2065992417972
66.0,38239.46187509039,,Divorced,22,,Rent,657.6643638364811
,59129.58244810992,High School,Divorced,22,3.0,Own,846.2394561293058
50.0,32868.0402585298,High School,Single,26,1.0,Other,676.2432429219655
55.0,80223.1784168632,High School,Divorced,55,2.0,Other,729.04465650458
23.0,73737.44545370304,High School,Divorced,54,1.0,Rent,778.5321098927376
,57702.43215381523,Bachelor,Married,34,4.0,Rent,991.712813391412
,56439.96532729853,High School,Single,59,,Own,482.83702806613684
49.0,55736.621267289476,,Married,22,2.0,Other,925.1417387694446
62.0,42663.578211216394,Master,Divorced,48,2.0,Rent,1094.2199559161954
64.0,54459.64468521263,High School,Married,49,,Own,495.59144685180127
,36153.01084313227,High School,Married,58,2.0,Rent,556.6419712166365
33.0,57557.276276602715,High School,Divorced,37,1.0,Own,514.3098077821658
38.0,63017.70414546943,Bachelor,Single,30,,Other,731.3776814378127
28.0,44328.70848524998,High School,Single,57,2.0,Own,227.66467278281095
54.0,41073.47308767921,Bachelor,Married,59,2.0,Rent,500.10037530096525
53.0,31812.844630281354,High School,Divorced,20,4.0,Rent,545.2715645815045
52.0,71869.32850348536,,Married,48,0.0,Other,1055.5622573856535
36.0,42265.03949236683,High School,Married,29,,Other,525.7675058958935
,47018.91445975065,Bachelor,Married,47,4.0,Rent,502.14808434564935
35.0,54502.33377493588,,Divorced,50,,Rent,755.4771332972002
64.0,54233.11464334902,Bachelor,Divorced,38,3.0,Rent,707.648843780059
58.0,61198.401435216045,,Single,22,4.0,Other,940.6801890097574
66.0,44310.05120242507,High School,Divorced,55,,Rent,755.9866717131849
31.0,32919.9809229363,High School,Married,34,,Other,380.48217777896514
,30295.02036541526,High School,Married,52,,Rent,565.992586094157
,41311.1715073573,High School,Single,45,,Own,544.7536343257689
18.0,35722.242879880636,Master,Divorced,35,2.0,Own,651.0476476859534
20.0,45445.749420383625,High School,Married,55,0.0,Rent,818.6499279154756
33.0,69613.68216139975,,Single,52,0.0,Own,637.1670116657544
40.0,44340.82691174467,Bachelor,Single,39,,Other,637.6983645932736
28.0,44335.23707998165,Bachelor,Married,32,1.0,Own,602.0083766499358
29.0,49754.01835616317,High School,Married,52,,Own,762.1167980158551
27.0,43915.625131819004,Master,Divorced,24,,Other,486.2189662088226
49.0,48989.13146422709,High School,Single,56,,Own,308.5980441828581
33.0,58113.0383372202,Master,Married,33,0.0,Own,728.9157952422461
25.0,63271.265821449706,Master,Single,46,,Rent,1350.066859270189
55.0,65048.19799608536,Master,Divorced,42,,Other,864.6836550295959
29.0,80852.7833109653,Bachelor,Married,33,2.0,Other,114.41755655742901
41.0,58540.39169258657,,Divorced,59,,Rent,579.9301200290424
45.0,83517.18352023963,High School,Single,23,1.0,Rent,621.3427105658351
25.0,38352.77287910535,Bachelor,Divorced,58,0.0,Own,297.82440831681146
45.0,81369.27353636878,High School,Divorced,38,,Own,582.6807294159329
53.0,44294.35918670615,Master,Single,23,,Own,837.3845336470874
43.0,45769.71603855447,High School,Divorced,49,4.0,Rent,1017.2229415464192
25.0,48201.9117886569,High School,Single,38,,Other,796.4813798717325
67.0,46720.68933261903,High School,Married,50,,Own,535.1057237679801
45.0,51287.605950897545,High School,Single,50,3.0,Rent,852.3030360942505
45.0,41299.57996267341,Bachelor,Single,28,,Other,782.2805232198725
54.0,62449.432596070576,,Married,32,3.0,Rent,503.12188637143197
58.0,41707.47448068231,Bachelor,Single,33,,Own,483.6407961399321
53.0,59834.15597379337,Master,Married,29,,Rent,283.1497959471451
44.0,72915.85429285647,,Married,50,1.0,Rent,389.8301950966242
34.0,44643.464452883905,Master,Single,56,,Rent,537.8416177889217
26.0,61915.751269687666,High School,Divorced,42,,Rent,836.8207011751683
50.0,58387.38933354777,Master,Divorced,46,,Other,807.7014532342521
37.0,83793.30323329625,,Married,25,,Own,524.229579864202
30.0,42427.54152732575,High School,Divorced,45,,Other,877.6841737160807
,61926.07425208676,Bachelor,Divorced,21,,Rent,730.0210933671019
65.0,25609.833623351704,High School,Single,32,,Rent,739.1306037852743
46.0,42562.12383894781,,Married,38,1.0,Own,416.19764920178375
30.0,55300.89256395362,High School,Married,20,1.0,Own,961.5520441547136
63.0,70897.39953634673,High School,Single,59,4.0,Other,710.6728904043181
,31610.99952523696,PhD,Divorced,51,,Other,533.4665274207325
23.0,61791.359611116655,High School,Married,41,3.0,Own,498.17655245132414
35.0,49051.64815275562,High School,Divorced,48,1.0,Other,537.9095714600354
68.0,27177.08519911531,Bachelor,Married,21,4.0,Rent,396.33249102445325
22.0,52723.80268923185,High School,Married,59,,Rent,797.6601088698985
64.0,75637.41849467318,PhD,Married,57,1.0,Own,416.8155819459186
42.0,33193.660101325746,High School,Married,30,3.0,Other,657.9649677749716
19.0,48350.93426944725,,Divorced,36,2.0,Rent,510.01655075972303
27.0,35200.41523040651,Bachelor,Divorced,27,,Own,734.1592937836693
47.0,42971.25602134976,PhD,Divorced,41,2.0,Other,761.3409632523828
67.0,71482.5521528695,Bachelor,Divorced,23,,Rent,471.2189875161756
62.0,45927.13286762926,Master,Single,30,4.0,Other,593.2252668484036
